"name","path","original_cost","final_cost","shared_segments","car_service_fares"
"Human19","[pnt1, sta1, sta3, sta4, sta6]","16.0","16.0","[]","[]"
"Human18","[sem6, sta3, sta4, sta6, sta5]","51.0","30.617085456848145","[]","[Path: [sem6, sta3], Fare: 4.62, Expected: 45.00]"
"Human1","[sta2, sta1, sta3, sem6, sem9]","71.5","50.05790710449219","[]","[Path: [sta3, sem6, sem9], Fare: 16.06, Expected: 67.50]"
"Human15","[sem1, sem3, sta4, sta6, sem7]","69.5","0.0","[]","[]"
"Human2","[sta2, sta1, sta3, sta4, sta6, sta5]","10.0","10.0","[]","[]"
"Human14","[sem9, sem6, sta3, sta1, sta2, sem4]","94.0","0.0","[]","[]"
"Human3","[sem1, sem3, sta4, sta6, sem7]","69.5","42.716702461242676","[]","[Path: [sem1, sem3, sta4], Fare: 10.53, Expected: 45.00, Path: [sta6, sem7], Fare: 0.19, Expected: 22.50]"
"Human17","[sem4, sta2, sta1, sta3, sem6]","71.5","0.0","[]","[Path: [sem4, sta2], Fare: 154.54, Expected: 22.50]"
"Human4","[sem7, sta6, sta4, sta3, sta1, sem2]","51.0","89.75587272644043","[]","[Path: [sem7, sta6], Fare: 36.79, Expected: 22.50, Path: [sta1, sem2], Fare: 26.97, Expected: 22.50]"
"Human16","[sem4, sta2, sta1, sta3, sem6]","71.5","0.0","[]","[]"
"Human5","[sem9, sem6, sta3, sta1, sta2, sem4]","94.0","0.0","[]","[Path: [sem9, sem6, sta3], Fare: 20.59, Expected: 67.50]"
"Human6","[sem5, sta5, sta6, sta4, sta3, sta1, pnt1]","63.0","0.0","[]","[]"
"Human7","[sta2, sta1, sta3, sta4, sem3]","28.5","0.0","[]","[Path: [sta4, sem3], Fare: 9.17, Expected: 22.50]"
"Human8","[sem7, sta6, sta4, sta3, sta1, sta2, sem4]","53.0","0.0","[]","[Path: [sem7, sta6], Fare: 9.42, Expected: 22.50]"
"Human9","[sem9, sem6, sta3, sta4, sem3, sem1]","114.5","0.0","[]","[Path: [sem9, sem6, sta3], Fare: 31.80, Expected: 67.50]"
"Human11","[sta2, sta1, sta3, sem6, sem9]","71.5","0.0","[]","[Path: [sta3, sem6, sem9], Fare: 41.96, Expected: 67.50]"
"Human10","[sem2, sta1, sta3, sta4, sta6, sta5]","30.5","23.51494598388672","[]","[Path: [sem2, sta1], Fare: 5.51, Expected: 22.50]"
"Human13","[sem3, sta4, sta6, sem7, sem8]","69.5","0.0","[]","[Path: [sem3, sta4], Fare: 28.46, Expected: 22.50]"
"Human12","[pnt1, sta1, sta3, sta4, sta6, sta5, sem5]","63.0","64.7248764038086","[]","[Path: [sta5, sem5], Fare: 26.72, Expected: 45.00]"
"Human20","[sem7, sta6, sta4, sem3, sem1]","69.5","68.96544742584229","[]","[Path: [sem7, sta6], Fare: 32.18, Expected: 22.50, Path: [sta4, sem3, sem1], Fare: 4.79, Expected: 45.00]"
